time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,0.0597300016345,0.117814808065,11.9735170541,0.021954443323,6.25256505201,0.0,0.153742957058,0.233818296309,3.15678794641,0.0158011867944,-0.0318798971178,0.0,470.48717447257025,472.29031690665664,468.8732604925708,469.693867194786
1.3800000000000008,0.0696960835085,0.132372791518,12.1691996241,0.0231412426124,6.25073349752,0.0,0.178661899002,0.251561005626,3.365360241,0.0267399119769,-0.0279472671213,0.0,479.41444098106547,479.7129231783088,478.63510129951925,479.4668221017645
1.4400000000000008,0.0810692610247,0.147932580322,12.3734008627,0.0247254551178,6.24895546627,0.0,0.200605869964,0.267249387868,3.44110876418,0.0257222683456,-0.0332398480178,0.0,440.3887150346452,439.9504203523454,440.31152559226405,440.227479086307
1.5000000000000009,0.0937319902764,0.164419817083,12.5803372348,0.026445390084,6.24775756723,0.0,0.221618271386,0.282469635119,3.45671011813,0.0339826870798,-0.00170479386773,0.0,419.61320733049814,422.3418931318254,421.13229448877655,421.8465057804241
1.560000000000001,0.107705992804,0.181879016409,12.7891822033,0.0285783513842,6.24790300374,0.0,0.244172530998,0.299695791929,3.5046326124,0.0385111215101,0.00961426290651,0.0,432.09925308911625,433.0524288993814,431.1294697455152,431.5125265210172
1.620000000000001,0.123074335947,0.20045166477,13.0022140727,0.0303763031056,6.24811479724,0.0,0.268050278537,0.319601840852,3.59613547246,0.00140480038238,-0.0128421150385,0.0,446.24643893713477,444.4094541682618,448.4879971607228,445.4640926869962
1.680000000000001,0.139741235024,0.220130184101,13.2169133475,0.0302606607188,6.24719299152,0.0,0.287584702944,0.336349997488,3.56061223271,-0.00960172807636,-0.0209541560004,0.0,405.0132185458471,404.28298044604736,406.0231965980422,405.03449899037366
1.740000000000001,0.157587647503,0.24080180095,13.4292294021,0.029283029255,6.24584360787,0.0,0.307404522079,0.352647540539,3.51672029177,-0.0350910818505,-0.0257523619135,0.0,401.95849570713693,401.5233094521959,403.30742723211057,400.9984230140347
1.8000000000000012,0.176646803365,0.262430776025,13.638933767,0.0270648309292,6.24408766158,0.0,0.32803691922,0.368144883257,3.47355502534,-0.0410196941274,-0.0374270256907,0.0,402.27060253213386,401.21157870096795,402.3171428088595,401.7791557236116
1.8600000000000012,0.197397175589,0.285236911961,13.8567583955,0.0246957236458,6.24235095702,0.0,0.363862321556,0.391708375578,3.7862749574,-0.0365809043329,-0.0158597853364,0.0,509.52018389967606,511.05957802145906,510.8466733407184,511.162528977598
1.9200000000000013,0.220124639149,0.309266880085,14.0881424518,0.0224437574893,6.24110087965,0.0,0.393814587336,0.409036439841,3.92605321674,-0.0395074032226,-0.0333251631387,0.0,464.33102329683624,462.9587517332339,462.3411639413532,462.10991288683135
1.9800000000000013,0.244645121896,0.33426796073,14.3270827342,0.0202883088383,6.2387131712,0.0,0.423739037048,0.424087185376,4.03822313155,-0.0295803528929,-0.057669275482,0.0,456.79136406235585,454.8448577981953,454.80745034179074,455.60133170789385
2.0400000000000014,0.270964999691,0.360105444588,14.5716083667,0.0185578562368,6.23536347829,0.0,0.453910737483,0.436981979351,4.11234828342,-0.0274017159098,-0.0523806067044,0.0,443.88363926562835,444.3153483923398,444.87869608784564,445.0568251272686
2.1000000000000014,0.299369749718,0.386760976648,14.824906591,0.0167689702341,6.23250944518,0.0,0.493229617014,0.451313809571,4.33010264733,-0.0351388691332,-0.0393567910546,0.0,487.60148293728304,488.5723423875717,488.63120616305895,488.0538350121529
2.1600000000000015,0.33006190108,0.414186680713,15.0885868464,0.014757034607,6.23033057602,0.0,0.530054637499,0.462646496705,4.45872880492,-0.0304990685703,-0.0308361840826,0.0,462.57510200268564,463.2451006932507,464.1795713918801,464.5431726090193
2.2200000000000015,0.363128890254,0.442282186474,15.3622587835,0.0126256952276,6.22881464562,0.0,0.572327130565,0.473626315492,4.66284139621,-0.0481676923964,-0.0159677100399,0.0,486.15259959718526,487.2654142873796,487.75929914008316,486.4373750901079
2.2800000000000016,0.398516222467,0.47092557191,15.6436340326,0.0097267332584,6.22770625358,0.0,0.607332554479,0.480871829711,4.71610790926,-0.0486142753109,-0.0240247601285,0.0,444.2744718785986,443.61333894429924,442.32596266719514,442.28773879031615
2.3400000000000016,0.436284494745,0.499989606442,15.9328376212,0.00644512198849,6.22644424096,0.0,0.651715653451,0.487557708689,4.92312824565,-0.0710351849817,-0.0156377835579,0.0,489.9360152563515,490.55929619647463,490.1693596783551,488.4982904058063
2.4000000000000017,0.476430502069,0.529338533967,16.22897388,0.00208572521629,6.22534645714,0.0,0.686565987012,0.490343210768,4.94796786721,-0.076112406551,-0.0242281661192,0.0,436.2007840539171,435.4827583694575,437.2363195594262,436.80886542706287
2.4600000000000017,0.518723628209,0.558773113867,16.5272033991,6.28050726733,6.22394453679,0.0,0.723322895837,0.490367842916,4.99281106104,-0.0869350722657,-0.0216934201921,0.0,443.05687105959896,443.2651962459161,443.3995434238283,442.50426731821653
2.520000000000002,0.563465665524,0.588102219412,16.8317924834,6.27485023875,6.22291341865,0.0,0.768158148266,0.486666903239,5.15940703917,-0.116012151271,-0.00942402230579,0.0,479.2418089514015,480.17368845606126,482.3176623716662,480.1090733026308
2.580000000000002,0.610827699753,0.617088450886,17.144901178,6.26903479279,6.22277335257,0.0,0.810571665715,0.478887981585,5.27700619096,-0.0736942577057,0.00901285624225,0.0,467.3062235650291,468.74142749647524,465.2260549245425,468.5196883985044
2.640000000000002,0.660943125398,0.64543952425,17.4685560494,6.26454518573,6.22335757322,0.0,0.859799947549,0.465619146507,5.51038582534,-0.0771925026725,0.0111473747861,0.0,500.85564476407717,501.0107464216775,503.2687749784152,503.0117995147012
2.700000000000002,0.713662417898,0.672990750133,17.8006386065,6.26000166208,6.22401046666,0.0,0.897425180034,0.45232377608,5.55879530944,-0.0729432873817,0.0103445524716,0.0,450.07589472727386,450.01077599492095,449.0818208360542,449.42196612464454
2.760000000000002,0.768767784295,0.69959950709,18.1380475854,6.25561947637,6.22516370356,0.0,0.93927514477,0.434182454099,5.68753314096,-0.0732232608994,0.0327780109598,0.0,473.68670261499443,475.4089368488412,474.5643941559024,474.5391333890706
2.820000000000002,0.82646853699,0.72496707331,18.4852123898,6.25108043938,6.22798989073,0.0,0.983725208706,0.410910539561,5.88364358769,-0.0810072742307,0.0663529045287,0.0,494.2028332075763,496.67273745540933,495.4549485947248,494.8783475419399
2.880000000000002,0.886414622983,0.74903901438,18.8378250687,6.24740038631,6.23224071089,0.0,1.01411507302,0.391132482591,5.8702043045,-0.0376604534547,0.0785841457045,0.0,433.77584785567757,434.8059025456229,431.6725208129112,435.3121817642067
2.940000000000002,0.948159323474,0.771828570249,19.1907071131,6.24513021791,6.23686105846,0.0,1.04359714541,0.36831939527,5.89244238953,-0.0381897622354,0.0736479851144,0.0,444.71806300509803,444.3181685770319,445.7082425267948,445.66429388441685
3.000000000000002,1.01159671759,0.79319868839,19.545164381,6.24277716896,6.24093730504,0.0,1.07056704039,0.343812139782,5.92266635367,-0.0413559240125,0.0529548866596,0.0,448.0673983997569,446.38492680194065,448.50895427070014,448.2509267741763
3.0600000000000023,1.07647411525,0.813155609604,19.8989589542,6.24008125492,6.24432802031,0.0,1.09174807017,0.321203784703,5.87076959166,-0.0532628259039,0.0628133801374,0.0,421.16459320910224,422.018931274486,422.03199379603114,421.00146609427
3.1200000000000023,1.14273507421,0.831514200502,20.2541385149,6.23651825853,6.248123995,0.0,1.11653199317,0.29043260326,5.96806046964,-0.0758804494771,0.0641565239762,0.0,468.14531126766065,468.2525123680104,468.8506342161535,467.0872920493724
3.1800000000000024,1.21020952742,0.848213353327,20.6095788586,6.23224046597,6.25199556754,0.0,1.13233023059,0.265856143926,5.88042257077,-0.0634259192749,0.0652551649175,0.0,409.57179160690174,409.6729544394235,409.69517839072313,410.79686399897867
3.2400000000000024,1.27865854973,0.863226020391,20.9626540216,6.22831475256,6.25609852682,0.0,1.14893200194,0.234227023266,5.88871920655,-0.0697668179153,0.0739977077492,0.0,440.8385923320208,441.56408697864043,440.27834269799814,439.7500778835718
3.3000000000000025,1.3479573606,0.87641365755,21.3136411866,6.22418809339,6.26036881525,0.0,1.16069236337,0.20502400922,5.81126404444,-0.0668702505705,0.0648204761072,0.0,413.09804570526137,412.2921147500682,412.01957604832074,412.2716575760037
3.3600000000000025,1.41800899484,0.887475995721,21.6651730208,6.2199075466,6.26480426749,0.0,1.17391045887,0.163332827355,5.90598334455,-0.0822532282015,0.0877441549286,0.0,465.0576837600476,466.8539284406085,467.8688130693801,466.6656523622478
3.4200000000000026,1.48877667024,0.89586554292,22.0236356296,6.21497255593,6.26976499084,0.0,1.18443071981,0.115834485808,6.04206329536,-0.0822430826019,0.0699026956229,0.0,480.21562307226316,478.8650233624109,480.16977153042944,480.1656031127133
3.4800000000000026,1.55996709755,0.901851608808,22.3822634603,6.20958256016,6.27372090847,0.0,1.18829943559,0.0833080133348,5.91287606204,-0.112758650494,0.056497398809,0.0,397.09340395838194,395.8652177190233,397.3403843299973,394.5237318346011
